distance_m,num_walls,num_users,interference_level,frequency_band,signal_strength_dbm,throughput_mbps,latency_ms
10.97,3.0,5,medium,5GHz,-73.13,76.19,17.07
28.51,3.0,11,high,2.4GHz,-73.18,12.8,31.55
45.86,5.0,2,medium,2.4GHz,-84.54,17.01,21.53
32.64,5.0,45,low,2.4GHz,-76.69,17.72,191.19
9.33,2.0,8,medium,5GHz,-61.61,106.61,11.76
39.94,5.0,44,low,2.4GHz,-78.08,4.23,162.66
22.35,6.0,21,low,2.4GHz,-77.12,9.37,30.94
1.15,0.0,6,low,2.4GHz,-20.0,126.79,3.33
24.59,5.0,30,medium,5GHz,-89.57,5.06,54.51
40.72,0.0,16,low,5GHz,-69.27,62.18,13.65
21.78,5.0,24,medium,2.4GHz,-75.64,11.02,38.87
38.04,4.0,49,low,5GHz,-87.25,15.59,500.0
35.42,5.0,32,low,2.4GHz,-78.35,9.6,50.06
23.12,4.0,1,low,2.4GHz,-68.81,94.62,11.69
16.5,1.0,5,medium,2.4GHz,-53.94,60.36,7.65
36.46,4.0,39,low,2.4GHz,-77.16,7.24,83.01
18.76,2.0,34,high,2.4GHz,-67.43,10.03,66.32
8.92,0.0,25,low,5GHz,-50.52,99.9,20.74
16.38,0.0,40,medium,2.4GHz,-57.31,10.48,85.79
43.9,6.0,12,medium,2.4GHz,-89.18,0.86,32.9
14.53,2.0,12,medium,2.4GHz,-60.1,28.41,15.28
12.13,1.0,21,medium,5GHz,-60.07,70.37,21.06
7.1,0.0,40,low,2.4GHz,-44.14,29.09,86.68
3.23,0.0,50,low,2.4GHz,-34.14,32.27,500.0
48.85,5.0,13,low,5GHz,-95.0,4.72,26.68
27.07,0.0,31,high,5GHz,-68.84,24.82,57.38
36.62,5.0,23,low,2.4GHz,-82.68,1.87,30.01
38.76,3.0,45,high,2.4GHz,-76.05,8.33,206.64
17.94,1.0,41,medium,5GHz,-65.52,38.49,104.03
40.05,6.0,9,high,2.4GHz,-90.87,0.5,36.51
48.09,3.0,35,low,2.4GHz,-76.43,,60.82
37.22,2.0,1,low,5GHz,-80.03,127.62,15.33
35.73,4.0,26,low,2.4GHz,-73.71,17.61,33.21
21.9,4.0,14,medium,2.4GHz,-75.45,15.36,30.14
42.15,5.0,19,high,2.4GHz,-86.58,0.5,46.57
4.9,4.0,17,high,2.4GHz,-54.81,22.09,29.22
37.61,6.0,29,low,5GHz,-95.0,4.28,50.86
18.42,2.0,43,medium,5GHz,-75.14,26.0,137.03
28.52,1.0,26,medium,2.4GHz,-65.46,20.4,34.81
44.7,0.0,44,low,2.4GHz,-64.96,14.08,154.16
30.45,1.0,49,low,2.4GHz,-63.84,18.3,500.0
1.77,5.0,12,high,5GHz,-59.09,78.57,23.88
36.27,5.0,42,high,5GHz,-95.0,4.53,141.17
46.49,2.0,11,high,2.4GHz,-75.76,14.04,31.96
32.28,0.0,6,medium,2.4GHz,-64.32,37.08,13.8
43.14,5.0,11,low,5GHz,-95.0,7.17,26.75
41.35,5.0,21,medium,2.4GHz,-85.0,0.5,36.08
43.13,0.0,9,low,2.4GHz,-59.95,43.45,8.29
17.53,0.0,30,high,5GHz,-60.11,41.01,47.14
23.97,2.0,30,low,5GHz,-68.33,47.29,36.74
42.48,3.0,36,low,5GHz,-83.84,16.91,68.7
45.56,0.0,46,medium,2.4GHz,-69.78,3.75,245.1
7.77,4.0,9,low,2.4GHz,-59.53,39.43,5.6
9.49,3.0,50,low,2.4GHz,-55.54,18.92,500.0
17.67,5.0,42,low,2.4GHz,-71.82,4.19,115.12
38.63,6.0,3,low,2.4GHz,-82.5,20.73,16.35
43.81,0.0,32,low,2.4GHz,-64.71,17.41,42.9
29.22,3.0,13,low,5GHz,-78.8,41.58,21.58
6.11,5.0,4,medium,2.4GHz,-57.19,60.5,11.6
15.54,0.0,35,low,5GHz,-57.78,66.56,42.22
42.92,5.0,3,low,2.4GHz,-84.82,13.18,21.72
17.7,2.0,9,low,5GHz,-68.49,92.38,10.31
5.59,5.0,35,medium,2.4GHz,-60.19,20.09,51.83
15.45,4.0,5,low,5GHz,-78.11,70.76,12.85
40.43,6.0,38,low,2.4GHz,-83.62,4.43,76.16
24.93,1.0,2,medium,5GHz,-70.27,145.58,15.55
8.99,6.0,16,high,2.4GHz,-73.77,9.79,36.89
15.98,3.0,13,low,5GHz,-71.48,69.22,14.71
47.7,5.0,9,low,5GHz,-95.0,10.56,28.55
21.88,5.0,27,low,2.4GHz,-73.26,14.7,34.63
22.36,4.0,11,high,5GHz,-83.78,12.92,36.88
8.08,3.0,8,medium,2.4GHz,-58.07,,8.23
15.58,5.0,20,medium,2.4GHz,-73.89,14.23,29.59
40.83,3.0,25,low,5GHz,-84.52,19.19,38.83
39.42,6.0,32,low,2.4GHz,-87.62,0.5,52.94
22.06,4.0,5,high,5GHz,-83.44,27.99,35.24
44.74,4.0,10,low,5GHz,-88.48,25.21,25.63
19.32,4.0,3,low,5GHz,-77.5,87.27,17.72
43.28,1.0,40,high,2.4GHz,-77.7,7.67,107.48
2.06,5.0,28,low,2.4GHz,-46.83,37.19,30.06
17.69,1.0,13,low,2.4GHz,-57.26,35.53,11.84
42.83,4.0,27,low,2.4GHz,-77.88,12.4,35.95
45.11,5.0,41,medium,5GHz,-95.0,1.91,114.82
37.94,3.0,39,high,5GHz,-87.31,7.84,102.64
33.66,6.0,47,medium,2.4GHz,-81.38,4.33,335.68
40.87,1.0,12,high,5GHz,-77.96,29.54,36.09
35.52,1.0,9,low,2.4GHz,-65.64,35.84,12.19
13.08,2.0,39,medium,5GHz,-66.22,39.33,83.21
23.58,6.0,46,medium,2.4GHz,-79.0,5.38,249.8
33.2,3.0,9,low,2.4GHz,-73.96,22.81,14.38
29.6,1.0,36,medium,2.4GHz,-65.96,13.5,64.72
44.31,6.0,29,medium,2.4GHz,-84.6,3.38,48.43
23.96,2.0,45,medium,2.4GHz,-65.31,9.21,190.74
9.31,1.0,10,medium,2.4GHz,-49.93,43.97,11.9
11.12,6.0,18,low,2.4GHz,,16.81,21.71
42.38,1.0,32,low,2.4GHz,-65.44,21.75,41.57
0.93,6.0,44,high,2.4GHz,-44.53,20.5,163.88
43.52,0.0,42,medium,2.4GHz,-62.9,16.72,115.93
3.25,3.0,24,low,2.4GHz,-45.17,37.71,20.79
19.89,4.0,19,medium,2.4GHz,-72.92,11.63,25.04
40.11,6.0,10,medium,5GHz,-95.0,2.57,34.3
20.68,6.0,21,low,5GHz,-92.14,3.29,30.33
41.21,5.0,50,low,2.4GHz,-79.27,1.55,500.0
5.46,6.0,12,medium,2.4GHz,-60.8,30.6,17.05
25.82,6.0,48,low,5GHz,-95.0,0.5,500.0
29.33,3.0,14,high,2.4GHz,-72.77,13.01,31.48
44.6,6.0,7,low,5GHz,-95.0,2.61,23.44
5.13,5.0,36,medium,2.4GHz,-61.4,13.2,58.55
17.26,2.0,23,medium,2.4GHz,-60.99,21.98,22.84
33.14,6.0,37,low,2.4GHz,-83.22,0.5,76.63
49.01,0.0,50,low,2.4GHz,-66.51,17.52,500.0
42.49,0.0,8,low,5GHz,-66.48,103.28,12.3
42.4,1.0,28,medium,2.4GHz,-67.21,14.34,41.99
26.1,3.0,14,low,2.4GHz,-67.89,24.84,10.78
28.43,0.0,25,high,5GHz,-70.39,35.64,45.55
43.0,1.0,13,medium,2.4GHz,-72.17,17.6,20.69
43.55,1.0,10,low,2.4GHz,-66.77,31.64,13.25
40.21,1.0,26,low,2.4GHz,-66.27,17.73,28.43
41.02,0.0,21,low,5GHz,-69.27,60.24,21.61
44.04,1.0,39,medium,5GHz,-76.44,24.27,88.08
6.13,1.0,25,high,2.4GHz,-49.87,26.25,36.66
14.99,5.0,31,medium,2.4GHz,-72.69,5.27,49.79
48.82,4.0,36,medium,2.4GHz,-84.11,0.8,72.59
27.47,2.0,3,low,2.4GHz,-65.94,59.65,8.21
9.23,0.0,23,medium,5GHz,-51.0,87.82,23.97
25.4,3.0,27,high,5GHz,-84.53,13.25,53.22
32.47,2.0,32,low,5GHz,-76.53,29.84,48.2
41.5,4.0,2,high,2.4GHz,-83.07,12.61,33.25
40.7,1.0,6,low,5GHz,-75.08,73.5,13.8
2.94,6.0,43,low,5GHz,-63.71,53.7,131.75
22.95,0.0,39,high,5GHz,-66.6,31.82,93.77
1.52,5.0,22,medium,2.4GHz,-44.14,38.64,25.22
44.46,4.0,1,low,5GHz,-93.47,25.68,23.4
9.11,4.0,13,low,5GHz,-70.69,57.18,19.65
31.43,6.0,33,low,5GHz,-95.0,0.5,62.45
28.75,3.0,35,low,2.4GHz,-72.58,8.92,60.46
31.46,5.0,42,high,2.4GHz,-80.78,0.5,136.24
28.39,3.0,28,medium,5GHz,-81.25,19.86,44.53
35.92,4.0,39,low,5GHz,-88.69,3.85,86.56
31.49,3.0,12,medium,5GHz,-82.81,22.06,28.11
4.97,6.0,8,low,2.4GHz,-62.21,42.02,5.52
18.66,2.0,17,low,2.4GHz,-60.59,30.53,14.1
27.56,5.0,43,low,2.4GHz,-79.78,11.48,136.9
16.6,1.0,45,low,2.4GHz,-54.59,23.87,182.9
38.14,0.0,4,low,2.4GHz,-64.53,48.12,9.72
16.24,4.0,10,medium,2.4GHz,-67.46,23.87,14.99
41.52,1.0,4,low,2.4GHz,-69.14,42.23,12.44
7.76,0.0,39,low,2.4GHz,-43.94,37.35,71.02
38.58,4.0,42,medium,2.4GHz,-79.07,10.66,126.04
9.58,4.0,47,medium,2.4GHz,-62.79,14.15,323.24
26.64,4.0,10,high,2.4GHz,-76.72,9.57,33.67
16.37,3.0,26,high,2.4GHz,-70.79,11.79,49.27
32.05,5.0,23,low,5GHz,-95.0,4.51,36.71
11.03,0.0,49,low,2.4GHz,-49.57,24.37,500.0
39.87,1.0,47,medium,5GHz,-73.99,17.16,330.49
28.89,2.0,42,low,2.4GHz,-67.22,13.6,111.06
47.89,,11,high,2.4GHz,-93.03,0.5,44.75
35.73,5.0,17,medium,5GHz,-92.98,2.36,34.64
30.57,3.0,40,medium,5GHz,-85.53,4.43,103.52
41.54,6.0,31,high,5GHz,-95.0,4.23,70.76
11.37,6.0,30,low,5GHz,-85.83,12.49,45.07
31.82,0.0,4,medium,5GHz,-69.59,105.29,17.54
19.82,3.0,21,medium,2.4GHz,-66.2,14.77,24.16
37.32,6.0,49,medium,5GHz,-95.0,0.5,500.0
1.71,1.0,23,low,5GHz,-31.63,151.37,18.0
21.67,1.0,45,low,2.4GHz,-63.69,20.22,186.26
32.76,2.0,21,low,2.4GHz,-68.2,23.92,23.4
23.3,6.0,43,low,5GHz,-94.09,0.5,144.01
12.28,1.0,42,medium,5GHz,-55.9,62.86,110.03
23.49,4.0,32,low,2.4GHz,-73.5,19.51,45.62
42.56,1.0,41,high,2.4GHz,-73.37,3.27,115.56
10.74,5.0,3,medium,2.4GHz,-67.96,43.06,12.76
18.68,6.0,19,low,5GHz,-90.82,6.92,30.49
49.52,,5,low,2.4GHz,-67.01,47.47,12.79
45.68,2.0,35,low,2.4GHz,-72.83,16.58,57.84
2.18,4.0,15,medium,5GHz,-52.58,102.92,17.57
26.75,1.0,27,low,2.4GHz,-61.43,25.78,29.92
3.74,4.0,43,high,2.4GHz,-53.08,16.03,138.66
46.23,2.0,38,medium,5GHz,-83.06,14.37,89.1
22.36,0.0,34,low,5GHz,-61.29,62.28,46.29
21.21,4.0,3,medium,2.4GHz,-70.0,40.29,11.74
14.01,0.0,31,high,5GHz,-58.48,52.19,50.98
28.66,1.0,17,high,2.4GHz,-67.69,18.46,33.41
7.68,1.0,50,high,5GHz,-57.84,39.14,500.0
40.05,0.0,17,medium,2.4GHz,-63.31,22.87,26.11
24.81,2.0,38,low,2.4GHz,-64.51,15.91,65.83
28.54,6.0,30,medium,2.4GHz,-80.95,1.46,50.47
42.12,2.0,17,medium,2.4GHz,-74.05,13.35,27.43
9.66,1.0,11,medium,2.4GHz,-54.01,40.25,15.62
9.17,5.0,13,high,5GHz,-83.75,12.31,38.86
21.33,6.0,27,medium,2.4GHz,-79.09,6.7,41.49
39.41,2.0,45,low,5GHz,-81.06,16.33,193.01
3.4,0.0,49,medium,2.4GHz,-38.74,28.96,500.0
39.86,5.0,16,high,2.4GHz,-84.37,6.73,40.62
25.29,4.0,3,medium,2.4GHz,-73.29,32.91,18.14
28.31,6.0,12,low,5GHz,-95.0,3.17,27.68
28.44,4.0,26,low,2.4GHz,-78.69,8.33,35.02
3.28,6.0,21,medium,5GHz,-71.34,39.85,31.87
12.86,1.0,7,high,2.4GHz,-54.62,35.7,18.6
37.89,1.0,9,low,2.4GHz,-65.89,35.16,9.79
20.91,4.0,30,medium,5GHz,-85.1,7.09,52.26
28.25,5.0,14,low,2.4GHz,-75.12,18.64,17.98
47.27,2.0,13,low,5GHz,-83.0,23.84,26.25
2.79,3.0,19,low,5GHz,-49.78,109.91,8.55
22.76,2.0,46,medium,5GHz,-73.37,23.95,242.38
18.38,0.0,43,high,2.4GHz,-59.36,12.49,140.51
5.77,6.0,16,medium,2.4GHz,-66.65,22.6,22.37
47.56,6.0,39,medium,5GHz,-95.0,0.5,97.92
48.09,6.0,48,medium,5GHz,-95.0,3.16,500.0
15.92,3.0,15,high,2.4GHz,-67.72,16.57,33.56
47.36,1.0,1,high,2.4GHz,-74.46,47.13,29.2
2.24,2.0,12,medium,2.4GHz,-36.79,55.19,13.33
49.05,4.0,42,medium,5GHz,-95.0,0.5,133.01
41.88,1.0,6,medium,2.4GHz,-69.09,39.07,15.7
11.11,,14,low,2.4GHz,-52.99,45.35,15.59
30.18,6.0,48,low,2.4GHz,-79.53,4.4,491.75
40.02,0.0,11,high,5GHz,-78.08,32.52,32.63
16.31,4.0,24,medium,5GHz,-77.78,32.83,37.9
18.01,1.0,45,medium,2.4GHz,-58.02,17.87,188.19
31.63,0.0,43,low,5GHz,-64.68,48.28,131.73
7.78,4.0,16,medium,2.4GHz,-57.27,27.64,21.85
6.35,1.0,13,low,2.4GHz,-46.17,55.48,10.29
12.87,5.0,30,low,2.4GHz,-64.66,21.25,35.11
37.19,5.0,17,high,5GHz,-95.0,0.5,44.5
18.65,3.0,37,high,5GHz,-79.95,13.37,82.68
25.61,1.0,34,high,5GHz,-69.78,27.66,60.94
10.17,6.0,21,low,5GHz,-81.54,23.55,28.63
10.11,2.0,21,medium,2.4GHz,-57.11,25.39,25.48
32.7,5.0,6,low,5GHz,-91.3,7.06,20.8
5.86,1.0,35,low,5GHz,-47.83,94.55,50.54
33.56,1.0,47,low,5GHz,-73.53,29.19,325.12
20.33,4.0,44,medium,2.4GHz,-71.0,15.08,158.37
33.73,1.0,33,low,5GHz,-70.79,40.08,49.96
19.4,3.0,37,low,2.4GHz,-65.11,13.21,62.89
42.38,4.0,45,low,5GHz,-91.14,4.8,203.96
3.25,0.0,11,low,2.4GHz,-34.83,74.14,7.19
44.72,2.0,39,high,2.4GHz,-78.57,3.15,103.0
13.8,1.0,6,low,5GHz,-56.89,170.7,1.0
2.61,0.0,39,medium,5GHz,-32.38,95.52,78.63
28.34,6.0,11,low,5GHz,-95.0,0.84,23.03
11.61,0.0,30,low,2.4GHz,-51.54,31.03,28.49
23.23,5.0,1,low,2.4GHz,-72.81,78.2,11.46
40.21,2.0,1,high,5GHz,-86.1,49.54,29.43
39.68,1.0,33,high,2.4GHz,-73.08,4.03,61.09
30.22,3.0,45,high,5GHz,-85.11,5.27,210.19
48.9,6.0,6,low,2.4GHz,-88.04,5.44,23.07
23.46,4.0,42,medium,5GHz,-85.26,8.35,127.42
2.45,0.0,38,high,2.4GHz,-35.67,25.05,81.01
41.06,5.0,37,low,2.4GHz,-80.66,13.63,72.34
11.45,5.0,14,low,2.4GHz,-65.8,34.53,11.61
9.22,6.0,44,low,5GHz,-80.25,27.09,157.43
3.97,1.0,31,high,2.4GHz,-43.18,26.5,52.29
16.73,5.0,10,low,2.4GHz,-69.99,26.94,13.58
16.64,2.0,45,low,2.4GHz,-56.91,17.53,184.3
15.49,2.0,15,medium,2.4GHz,-62.0,,17.0
29.86,4.0,25,low,2.4GHz,-73.79,16.94,30.96
37.7,3.0,8,low,2.4GHz,-68.52,32.88,13.49
46.92,1.0,20,low,5GHz,-77.42,41.08,26.68
5.16,1.0,33,medium,2.4GHz,-46.26,27.07,44.02
7.94,4.0,45,low,5GHz,-68.46,44.04,186.02
29.7,6.0,22,medium,2.4GHz,-79.87,11.6,31.11
5.36,1.0,31,low,5GHz,-44.75,92.85,36.05
18.85,3.0,6,medium,2.4GHz,-65.61,37.16,12.41
31.42,2.0,12,medium,2.4GHz,-70.34,20.34,20.54
39.14,1.0,29,medium,2.4GHz,-70.57,9.15,40.24
11.27,5.0,3,medium,5GHz,-82.48,56.13,20.72
33.57,5.0,17,low,5GHz,-93.93,6.12,35.1
32.47,3.0,3,high,5GHz,-85.19,34.2,32.02
43.05,3.0,25,medium,5GHz,-88.48,8.88,44.22
16.03,2.0,14,low,2.4GHz,-58.73,36.73,12.85
37.63,6.0,14,medium,2.4GHz,-89.89,4.06,34.29
37.72,6.0,24,low,2.4GHz,-84.3,6.47,34.25
12.34,0.0,9,medium,2.4GHz,-53.14,47.94,14.57
31.25,5.0,38,low,2.4GHz,-77.37,9.62,78.13
33.92,2.0,23,medium,5GHz,-75.98,26.49,34.8
14.08,4.0,46,high,2.4GHz,-68.4,14.73,247.89
22.86,6.0,12,medium,2.4GHz,-81.03,7.3,27.51
22.07,2.0,4,low,2.4GHz,-65.9,50.68,8.99
38.79,3.0,21,high,2.4GHz,-77.94,7.25,45.42
0.53,4.0,6,medium,5GHz,-32.38,242.37,12.35
25.3,2.0,20,low,2.4GHz,-64.46,23.88,20.2
9.62,1.0,39,low,2.4GHz,-51.12,24.82,70.9
32.52,4.0,48,low,5GHz,-85.93,11.13,492.91
34.18,1.0,23,low,5GHz,-72.04,49.78,28.63
25.31,4.0,10,low,2.4GHz,-74.43,16.69,17.94
27.33,1.0,20,medium,2.4GHz,-62.02,20.86,21.68
16.1,0.0,15,low,2.4GHz,-51.98,41.16,9.98
16.01,0.0,7,medium,2.4GHz,-52.5,57.86,9.5
37.38,1.0,40,medium,2.4GHz,-66.73,12.25,91.56
7.02,0.0,37,high,2.4GHz,-46.69,12.51,73.24
38.69,2.0,15,low,5GHz,-74.23,50.92,20.77
32.92,2.0,25,low,5GHz,-74.98,39.94,30.6
44.28,1.0,25,high,2.4GHz,-75.96,5.18,44.93
13.38,3.0,22,high,5GHz,-76.93,19.67,44.0
25.56,2.0,39,medium,2.4GHz,-67.97,11.9,83.74
2.43,0.0,35,low,5GHz,-32.24,121.59,51.15
45.67,2.0,1,high,5GHz,-88.96,27.11,35.17
33.93,0.0,12,medium,5GHz,-65.77,77.05,17.34
31.33,5.0,48,low,5GHz,-90.69,4.05,497.86
36.77,3.0,21,medium,5GHz,-84.36,18.46,39.63
14.57,4.0,24,low,2.4GHz,-66.72,18.05,25.68
30.39,0.0,39,low,2.4GHz,-61.83,22.83,74.94
40.15,3.0,38,medium,5GHz,-87.8,3.82,84.69
4.97,5.0,29,medium,2.4GHz,-56.72,24.14,32.66
47.96,1.0,47,high,2.4GHz,-74.62,5.73,339.28
44.65,6.0,30,low,5GHz,-95.0,0.5,55.79
48.17,2.0,44,low,5GHz,-78.55,23.58,162.74
40.51,0.0,23,medium,2.4GHz,-66.43,19.86,25.42
15.07,1.0,12,medium,2.4GHz,-59.99,30.95,12.43
29.29,3.0,6,high,2.4GHz,-71.86,23.25,26.47
6.45,6.0,28,medium,5GHz,-77.27,28.49,41.97
37.83,3.0,45,low,2.4GHz,-74.92,8.91,192.76
8.11,1.0,21,low,5GHz,-53.11,98.71,14.16
43.41,2.0,37,low,2.4GHz,-69.1,18.44,67.52
12.41,6.0,27,medium,2.4GHz,-73.33,9.52,37.95
8.44,6.0,41,low,2.4GHz,-68.13,21.91,98.92
4.01,4.0,39,medium,5GHz,,43.78,80.95
35.71,6.0,35,medium,2.4GHz,-83.86,9.27,67.71
9.72,5.0,18,low,2.4GHz,-63.01,25.6,16.41
10.28,2.0,21,high,2.4GHz,-56.41,17.41,31.94
8.9,6.0,24,low,2.4GHz,-71.68,18.47,28.54
15.64,0.0,42,low,5GHz,-55.01,65.59,108.48
47.09,5.0,31,low,2.4GHz,-84.32,0.5,51.37
24.59,4.0,9,low,2.4GHz,-74.43,25.37,18.53
13.41,4.0,14,high,2.4GHz,-70.16,16.56,30.08
8.93,6.0,16,medium,2.4GHz,-68.34,14.52,22.88
1.44,1.0,31,low,2.4GHz,-25.67,45.84,34.23
18.57,1.0,39,low,2.4GHz,-54.21,24.2,74.32
5.95,4.0,8,low,5GHz,-65.81,,9.04
1.84,5.0,37,low,2.4GHz,-44.12,35.59,59.84
5.6,0.0,32,low,5GHz,-41.95,106.71,35.61
16.27,3.0,11,low,2.4GHz,-65.81,30.1,10.33
37.67,2.0,8,medium,2.4GHz,-69.57,23.07,21.41
3.82,5.0,8,medium,5GHz,-63.47,94.47,18.41
34.09,6.0,39,high,2.4GHz,-87.06,4.76,105.16
31.22,0.0,12,low,2.4GHz,-59.3,34.6,8.36
44.16,4.0,10,low,2.4GHz,-79.18,14.48,21.13
9.61,5.0,21,medium,2.4GHz,-65.73,19.14,29.54
39.82,,33,high,2.4GHz,-71.76,4.75,62.71
43.31,6.0,23,low,2.4GHz,-85.66,5.96,34.64
48.84,6.0,30,low,5GHz,-95.0,5.49,52.85
40.52,1.0,19,medium,2.4GHz,-70.48,16.23,27.72
6.63,0.0,22,medium,5GHz,-43.6,100.12,22.78
47.38,4.0,30,medium,5GHz,-92.46,6.05,56.68
40.84,6.0,33,high,5GHz,-95.0,0.5,76.88
11.01,4.0,37,high,5GHz,-77.44,14.16,80.24
8.68,5.0,43,low,2.4GHz,-63.29,23.94,126.13
46.85,5.0,17,medium,5GHz,-95.0,0.5,35.14
8.21,1.0,7,low,5GHz,-51.05,178.57,6.51
38.97,0.0,5,medium,2.4GHz,-67.12,38.39,13.37
20.56,0.0,34,medium,2.4GHz,-59.79,18.42,48.96
36.33,6.0,22,low,2.4GHz,-84.99,6.33,31.56
5.05,6.0,21,low,2.4GHz,-60.76,27.95,17.21
36.39,5.0,37,medium,2.4GHz,-83.84,3.81,78.79
25.84,0.0,34,low,2.4GHz,-60.49,24.91,46.04
45.07,6.0,46,low,5GHz,-95.0,4.69,253.81
9.83,6.0,44,low,2.4GHz,-68.0,13.62,155.84
5.91,5.0,38,high,2.4GHz,-64.33,10.9,79.57
10.21,2.0,33,medium,5GHz,-62.23,51.8,49.62
4.39,0.0,45,medium,2.4GHz,-37.73,27.85,185.71
49.02,2.0,8,medium,5GHz,-83.94,30.02,24.71
6.58,1.0,48,low,5GHz,-50.88,72.75,485.82
10.44,4.0,21,high,5GHz,-74.96,28.27,39.16
40.58,6.0,13,low,2.4GHz,-84.64,11.85,24.81
12.71,3.0,28,medium,2.4GHz,-62.22,20.79,33.6
11.5,0.0,45,medium,2.4GHz,-50.29,22.01,188.01
33.78,2.0,7,low,5GHz,-76.47,64.15,18.48
20.24,5.0,9,low,5GHz,-82.7,33.79,18.59
41.86,4.0,33,medium,2.4GHz,,11.0,57.95
32.09,0.0,34,medium,2.4GHz,-61.11,19.02,54.57
14.77,2.0,36,medium,2.4GHz,-60.92,13.78,58.61
30.1,2.0,45,low,2.4GHz,-66.73,12.89,189.12
43.39,0.0,39,high,2.4GHz,-70.23,11.81,94.99
18.54,2.0,41,medium,2.4GHz,-66.65,11.13,102.34
36.96,5.0,6,medium,5GHz,-95.0,5.84,31.76
21.08,0.0,18,low,5GHz,-57.94,95.32,13.61
27.38,3.0,36,medium,2.4GHz,-77.24,8.5,70.43
36.82,4.0,41,medium,2.4GHz,-78.76,6.26,110.26
3.5,4.0,19,low,2.4GHz,-48.47,38.1,12.34
23.02,2.0,30,low,5GHz,-71.61,43.77,39.95
5.21,4.0,11,medium,2.4GHz,-54.87,35.54,13.59
36.39,5.0,44,medium,2.4GHz,-82.83,5.76,164.66
30.59,4.0,27,low,5GHz,-86.17,6.67,39.32
16.68,5.0,5,high,2.4GHz,-72.42,19.68,28.18
4.28,1.0,29,high,5GHz,-51.41,57.81,44.93
46.33,0.0,14,medium,5GHz,-71.67,51.38,19.72
16.09,6.0,23,low,2.4GHz,-74.24,16.4,31.66
14.13,5.0,18,medium,2.4GHz,-71.96,9.97,26.96
5.5,3.0,43,high,5GHz,-59.97,34.49,137.28
29.08,3.0,43,low,2.4GHz,-69.87,10.05,130.25
13.65,6.0,8,low,2.4GHz,-72.03,30.48,15.46
42.22,6.0,17,medium,5GHz,-95.0,0.5,39.38
34.3,5.0,21,low,5GHz,-95.0,2.63,38.18
0.69,4.0,43,medium,5GHz,-33.8,90.7,125.22
28.5,5.0,14,high,2.4GHz,-81.09,5.26,39.7
11.98,4.0,36,low,2.4GHz,-64.41,19.84,58.2
1.26,3.0,3,medium,2.4GHz,-36.58,110.53,12.84
31.16,4.0,48,medium,2.4GHz,-76.61,1.74,496.86
10.64,0.0,17,medium,5GHz,-50.5,97.82,18.02
45.03,5.0,14,low,2.4GHz,-83.94,2.48,28.21
28.88,2.0,36,medium,2.4GHz,-70.48,12.31,66.6
10.85,3.0,31,medium,2.4GHz,-59.74,19.41,37.03
48.97,4.0,27,low,5GHz,-94.2,2.5,47.09
27.55,2.0,47,high,2.4GHz,-71.98,8.89,336.21
8.69,2.0,21,low,5GHz,-57.4,89.74,16.95
26.1,1.0,27,medium,5GHz,-73.39,30.79,39.72
47.99,0.0,24,medium,2.4GHz,-66.1,18.73,30.48
21.5,6.0,9,medium,5GHz,-95.0,0.97,30.73
21.55,3.0,16,low,5GHz,-72.29,50.15,20.72
23.33,4.0,31,medium,2.4GHz,-69.62,16.87,45.3
14.37,1.0,7,low,5GHz,-56.72,155.2,8.25
8.51,5.0,37,low,5GHz,-75.79,30.72,70.07
29.16,2.0,30,low,5GHz,-76.97,26.26,44.07
44.76,3.0,33,medium,5GHz,-89.2,7.32,64.74
36.92,3.0,41,medium,2.4GHz,-73.53,8.69,110.79
5.26,5.0,25,low,5GHz,-65.94,59.37,29.67
20.34,0.0,40,low,5GHz,-59.22,65.1,81.7
0.76,6.0,38,high,5GHz,-56.5,38.06,75.95
15.74,0.0,12,low,2.4GHz,-52.02,48.64,8.31
33.63,4.0,14,low,2.4GHz,-78.32,17.19,24.79
14.87,1.0,22,high,5GHz,-64.87,44.61,35.88
42.11,6.0,5,low,2.4GHz,-84.89,15.19,21.24
24.13,4.0,28,low,2.4GHz,-73.38,11.14,36.45
33.62,6.0,46,low,2.4GHz,-78.66,7.26,242.85
44.25,6.0,41,medium,5GHz,-95.0,4.49,121.07
34.3,1.0,37,medium,5GHz,-72.61,28.4,73.26
44.92,1.0,10,low,2.4GHz,-66.0,28.15,13.92
40.5,0.0,41,medium,2.4GHz,-67.33,19.96,108.17
28.57,5.0,7,low,2.4GHz,-76.28,24.5,14.2
15.21,0.0,21,low,5GHz,-57.71,89.43,17.68
15.26,1.0,47,medium,2.4GHz,-58.08,17.05,319.55
43.83,6.0,39,high,2.4GHz,-92.17,2.72,107.44
3.17,4.0,8,medium,5GHz,-57.61,118.98,9.77
47.1,3.0,27,medium,5GHz,-89.73,6.71,47.12
16.69,0.0,50,medium,2.4GHz,-56.99,17.57,500.0
37.07,5.0,23,low,2.4GHz,-78.02,12.16,32.84
16.84,5.0,30,medium,2.4GHz,-72.0,10.83,45.11
47.69,0.0,20,medium,2.4GHz,-67.94,17.14,25.94
2.31,5.0,25,medium,2.4GHz,-44.59,35.12,28.45
17.99,2.0,26,medium,5GHz,-72.82,36.59,36.36
43.44,4.0,10,low,2.4GHz,-80.74,15.86,18.11
14.07,2.0,48,medium,5GHz,-64.21,35.61,491.39
14.14,0.0,44,medium,5GHz,-54.39,58.4,154.43
